Restaurant ID,Price range,Aggregate rating,Votes,Rating text
6307637,3,4.8,304,Excellent
6304287,3,4.5,590,Excellent
6300002,4,4.4,270,Very Good
6308506,4,4.9,365,Excellent
6304302,4,4.8,229,Excellent
8089370,3,4.4,336,Very Good
6300780,4,4,520,Very Good
6300290,4,4.2,677,Very Good
6300000,4,4.9,620,Excellent
6304987,3,4.8,532,Excellent
6309903,3,4.9,70,Excellent
6309455,3,4.2,488,Very Good
6308433,3,4.8,294,Excellent
6300470,3,4.2,458,Very Good
6304605,3,4.3,223,Very Good
8085059,3,3.6,29,Good
8082702,3,4,72,Very Good
6308203,3,4.5,200,Excellent
8255654,2,4.5,8,Excellent
6308205,4,4.4,392,Very Good
6305438,4,4.7,535,Excellent
6300406,4,4.5,608,Excellent
6600680,2,3,6,Average
6600005,0,3.8,9,Good
6600292,2,3.7,0,Good
6600440,3,3.8,0,Good
6600970,2,3.2,0,Average
6600379,3,3,0,Average
6600204,3,3.7,8,Good
6600208,4,3.7,5,Good
6600060,0,0,2,Not Rated
6600083,4,4,2,Very Good
6600505,4,3,9,Average
6600360,3,3.6,9,Good
6600602,4,4.3,29,Very Good
6600589,4,4.2,7,Very Good
6600862,4,3.6,5,Good
6600595,4,4,0,Very Good
6600058,4,3.2,6,Average
6600427,4,4.9,30,Excellent
6600006,4,3.3,8,Average
6600457,2,3.6,9,Good
7303209,4,4,7,Very Good
7304307,4,4.8,29,Excellent
7300205,3,4.7,24,Excellent
7300596,3,4.5,29,Excellent
7300602,4,4.2,0,Very Good
7300704,3,4.8,9,Excellent
7300955,4,4.9,40,Excellent
7300520,3,4.6,20,Excellent
7300505,4,4.9,49,Excellent
7300483,4,4.6,20,Excellent
7300064,3,4.3,4,Very Good
7304302,4,4,5,Very Good
7300004,4,4.6,25,Excellent
7300868,4,4.4,3,Very Good
7302637,2,4.2,7,Very Good
7302040,4,4.2,8,Very Good
7305048,3,0,0,Not Rated
7302898,4,4.7,44,Excellent
7302859,3,4.6,24,Excellent
7300700,3,4.3,0,Very Good
6706303,4,4.5,49,Excellent
6704326,4,4.4,7,Very Good
6700079,3,3,5,Average
6702797,4,4,5,Very Good
6700475,4,4.8,59,Excellent
6703403,4,4.6,30,Excellent
6704340,3,3.9,5,Good
6700645,2,0,0,Not Rated
6700402,4,3.4,73,Average
6700846,4,3.5,9,Good
6702059,4,4.3,39,Very Good
6700666,4,3.9,2,Good
6700257,4,4.3,68,Very Good
6706200,4,4.3,46,Very Good
6705858,4,4.4,37,Very Good
6700409,3,0,2,Not Rated
6703956,2,0,2,Not Rated
6709580,4,4.4,22,Very Good
6703076,3,4.6,58,Excellent
6703772,4,4,0,Very Good
7284404,2,3.3,35,Average
7284203,0,3.3,25,Average
7284005,0,3.4,34,Average
7284302,0,3.4,45,Average
7284397,0,3.4,26,Average
7284200,0,3.4,36,Average
7284094,0,3.5,67,Good
7284409,0,3.9,40,Good
7284039,2,3.7,47,Good
7284403,4,3.5,50,Good
7284045,2,3.6,88,Good
7284050,0,3.8,53,Good
7284058,0,3.9,60,Good
7284075,2,3.5,57,Good
7284079,2,3.5,58,Good
7284097,3,3.6,5,Good
7284240,3,3.5,50,Good
7284390,3,3.8,250,Good
7284279,0,3.7,7,Good
7284364,0,3.4,20,Average
6600004,2,3.5,25,Good
7293280,3,4.5,820,Excellent
7293300,0,4.5,849,Excellent
7293409,0,4.6,907,Excellent
7293063,0,3.9,439,Good
7293228,0,3.7,289,Good
7293880,0,4.3,558,Very Good
7293069,0,4.2,603,Very Good
7293086,2,4,353,Very Good
7293080,2,4,387,Very Good
7293205,3,4.3,755,Very Good
7293229,0,4.2,800,Very Good
7293897,0,4,350,Very Good
7293273,3,4,464,Very Good
7293870,2,4.2,550,Very Good
7293877,0,4,543,Very Good
7293890,3,4,465,Very Good
7293905,0,4.4,546,Very Good
7293422,0,4.4,98,Very Good
7293873,2,4.2,579,Very Good
7294004,0,4,374,Very Good
7294556,3,4.6,707,Excellent
7294607,3,4.9,548,Excellent
7294279,2,4.5,630,Excellent
7294300,0,3.9,372,Good
7295205,2,3.9,200,Good
7295028,3,3.8,332,Good
7294642,2,3.5,304,Good
7295009,3,4.3,368,Very Good
7294440,2,4,430,Very Good
7294552,2,4.4,433,Very Good
7294565,0,4,380,Very Good
7294623,2,4,456,Very Good
7294702,3,4.2,647,Very Good
7295033,3,4,360,Very Good
7295069,2,4,227,Very Good
7294260,2,3.9,290,Good
7295005,0,4,270,Very Good
7294836,2,4,326,Very Good
7294850,3,4.3,307,Very Good
7294883,0,4.2,300,Very Good
6608864,2,3.2,20,Average
6604900,2,4.6,237,Excellent
7303465,2,4.5,879,Excellent
7303642,2,4.6,605,Excellent
7303670,2,4.5,879,Excellent
7303545,4,3.9,379,Good
7303655,0,4.3,303,Very Good
7304690,4,4,538,Very Good
7303478,0,4.2,334,Very Good
7303480,2,4.3,555,Very Good
7304733,0,4.4,823,Very Good
7303646,2,4,550,Very Good
7304929,2,4.4,650,Very Good
7303684,0,4.3,400,Very Good
7303772,0,4.4,660,Very Good
7305023,2,4.4,360,Very Good
7303787,3,4,340,Very Good
7303990,2,4,393,Very Good
7304740,0,4.3,422,Very Good
7304726,3,4,435,Very Good
7304486,2,4,369,Very Good
7304533,3,4.4,487,Very Good
7306233,3,3.7,98,Good
7305883,3,4,365,Very Good
7305995,0,4,90,Very Good
7306008,3,4,429,Very Good
7306038,2,4.4,430,Very Good
7306770,2,4.2,86,Very Good
7306200,0,4.2,220,Very Good
7306208,0,4.2,347,Very Good
7306389,2,3.8,60,Good
7306278,2,4,60,Very Good
7306744,0,4.9,820,Excellent
7306750,0,4.5,488,Excellent
7306766,2,3.6,253,Good
7306743,3,3.8,220,Good
7306374,2,4.3,485,Very Good
7306380,3,4.3,428,Very Good
7306802,2,4,294,Very Good
7306406,3,4,380,Very Good
7306449,2,4.2,259,Very Good
7306603,2,4.7,433,Excellent
6659069,2,3.7,76,Good
7558684,0,4.3,96,Very Good
8366580,2,3,6,Average
7330755,0,3.3,33,Average
7330600,2,4.6,489,Excellent
7330609,2,4.5,345,Excellent
7330024,2,3.8,49,Good
7330074,2,3.9,330,Good
7330085,3,3.9,247,Good
7330397,0,3.7,23,Good
7330735,3,3.6,9,Good
7330676,3,3.7,34,Good
7330048,3,4.2,722,Very Good
7330604,2,4.3,203,Very Good
7330087,2,4,335,Very Good
7330037,2,4,353,Very Good
7330055,0,4,70,Very Good
7330309,2,4,92,Very Good
7330300,3,4,302,Very Good
7330605,0,4.2,355,Very Good
